date,DB,G1,G2,G3,G4,G5,G6,G7
2025-07-05,18512,82142,11448 08590,64078 99011 34115 02402 82550 60057,9744 8248 6501 6809,9787 1675 8232 7320 4878 9025,875 913 525,35 92 64 77
2025-07-04,63315,77119,76395 45382,51215 39910 49630 18597 52888 35871,5715 6153 5487 4710,1983 3913 2815 2794 1606 1207,705 718 216,77 45 67 00
2025-07-03,44369,91816,79673 20951,60660 29366 11799 54800 61902 43185,5484 5556 9190 5821,1301 7283 9515 9134 9500 1060,510 430 610,06 37 96 07
2025-07-02,85644,58387,22041 46641,26610 98098 29092 16449 37537 62471,6129 6416 5816 1085,3651 8163 1898 3765 3053 7978,013 595 047,04 06 95 33
2025-07-01,77818,91286,60990 99531,30728 85108 67734 05379 05439 09654,8980 9705 3098 0125,9840 5592 1640 4532 0862 0309,648 507 469,97 78 74 63
2025-06-30,90207,34751,13719 79394,39203 04315 44756 12238 94768 61409,8872 2363 6079 4020,8695 5064 6145 3957 5530 9838,031 021 966,94 97 52 11
2025-06-29,53368,89571,70992 02153,65816 60941 46294 03999 71908 18274,8932 5184 3345 7092,8439 4738 0311 3461 3013 2827,867 096 626,83 36 43 19
2025-06-28,44194,43124,43872 69046,30893 16260 07493 59254 19247 50394,3634 1921 2791 0020,2761 1550 8259 9532 1300 2937,363 189 068,30 15 79 95
2025-06-27,89862,91461,33515 56091,02478 53877 91237 20313 09110 49180,6721 7485 3139 6202,4125 5996 5022 7575 6760 2050,919 605 840,14 97 11 50
2025-06-26,18703,94526,69259 74878,05401 90209 58895 71725 85361 56442,3115 2717 6551 9220,1739 9045 1314 6507 0925 7029,181 060 543,38 33 25 74
2025-06-25,94736,47686,18591 18600,58455 95764 89581 14306 05719 22468,4407 3870 1494 1970,2282 5159 9925 7162 2117 6165,526 301 826,78 21 50 65
2025-06-24,90034,1365,90231 32183,41387 83136 48185 27370 48827 69654,8027 7802 0289 8409,5662 1802 8806 1203 9332 3952,056 649 995,65 29 86 77
2025-06-23,52157,17221,07572 13820,51534 05126 11015 94901 19536 98800,4569 3963 0627 4216,8687 9439 4306 2875 2060 2078,639 609 558,89 08 95 67
2025-06-22,27301,84414,53608 57899,53334 05692 21955 08546 70544 19235,2853 8817 5854 1366,5574 7070 5276 6787 9529 3972,943 448 021,49 29 95 54
2025-06-21,4603,64170,48634 89446,06612 44307 38452 61703 60913 38510,1569 2451 9510 5147,6381 5785 3955 5788 5029 5239,515 206 661,31 02 95 58
2025-06-20,4906,11193,14470 31108,23635 94352 59998 31404 40599 07429,8595 2236 1223 1741,9171 4053 3147 9836 1934 9173,852 566 574,98 68 32 07
2025-06-19,76288,25710,94458 76805,66147 68140 51179 88650 88093 66542,6614 2113 5947 3124,9390 9466 5582 6565 3949 4904,065 050 144,15 56 10 03
2025-06-18,10682,58391,31757 01561,95119 73059 96818 72738 41421 73422,1877 0858 8890 0848,7043 3653 4796 3014 3580 2039,922 095 492,68 52 34 04
2025-06-17,10724,34039,84720 99572,28496 17168 77642 99311 83029 44158,3309 8205 4550 4299,5814 2946 2463 3178 3805 9532,526 102 754,24 07 85 69
2025-06-16,12456,41669,69019 63447,86133 77309 59221 29862 55591 01206,5886 6948 8808 1438,4701 0370 2358 5573 7004 0599,182 109 947,67 53 81 66
2025-06-15,32099,22776,95300 02854,98097 48961 58881 38882 19897 69964,4813 1552 4144 3274,6834 5865 5508 1379 0740 9399,233 903 043,29 75 21 00
2025-06-14,59044,47746,20002 91667,90475 90417 10879 69549 15592 10813,2495 1611 3821 5558,2904 6607 5107 8844 4823 3516,283 804 195,25 02 92 61
